Item No,Item Name,Collection,Product Type,"Department
(manual input)",Item Type,Gender,Line Status,PriceType,MSRP,UPC Code,Season,Catalog Status,MetalType,MetalColor,Case Shape,Watch Movement Type,Band Type,Band Color,Band Material,Watch Dial color,Watch crystal,Gem Type,Watch Case Diameter  (mm),Jlry Size,Jlry Dims,Length,Water Resistance (Meters),https://docs.google.com/spreadsheets/d/1_-9VqVemWseZXiEiXVuXxqIX4wOLo3l5Hhj5UnNy3rE/edit?gid=1368149032#gid=1368149032,Image Link 1,Image Link 2,IsImageFromURL
43L204,Caravelle Stainless Steel Classic CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,Core,1,$125.00,42429552593,2017 FALL,Catalog,Stainless Steel,Silver-Tone,Tonneau,Quartz,Bracelet,Silver-Tone,Stainless Steel,Black,Curved Mineral Crystal,Crystal,18,,,,0030M,Add a sparkle to your style. 40 crystals embellish a stainless steel case. Black mother-of-pearl dial and stainless steel bracelet with jewelers clasp closure.,https://bulova.widen.net/content/6hujgp8nlj/jpeg/43L204_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/ffclsy4tqy/jpeg/43L204_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43L209,Caravelle Stainless Steel Classic CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,Core,1,$125.00,42429557659,2018 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Silver-White,Mineral Crystal,None,24,,,,0030M,Less is more with this gracefully proportioned stainless steel case with easy-to-read numerals on silver-white sunray dial. Alternating polished and brushed three-link stainless steel bracelet with jewelers clasp closure.,https://bulova.widen.net/content/lr2rgtgthd/jpeg/43L209_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/jizoxbovi3/jpeg/43L209_C_rgb.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43L222,Caravelle Stainless Steel Classic CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,Core,1,$125.00,42429593688,2023 SPRING,Catalog,Stainless Steel,Silver-Tone,Rectangle/Tank,Quartz,Strap,Black,Leather,Black,Curved Mineral Crystal,Crystal,21.5,,,,0030M,Elevate your style with refined elegance. Stainless steel tank shaped case with 42 crystals on the bezel and added dimension with a curved mineral crystal. Black dial with a delicate balance of roman numeral and 8 crystal markers. Black stitched leather strap finished with a three piece buckle.,https://bulova.widen.net/content/f97eavsf2m/jpeg/43L222.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/2ll4lexbaa/jpeg/43L222_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43L223,Caravelle Stainless Steel Modern CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,New,1,$150.00,42429603912,2025 SPRING,Catalog,Stainless Steel,Silver-Tone,Tonneau,Quartz,Expansion,Silver-Tone,Stainless Steel,Light Blue,Metalized Curved Mineral Crystal,Crystal,22,,,,0030M,"Show your confidence with this remarkable Caravelle women?s timepiece. Defined by a graceful silhouette, the silver-tone stainless steel case features an edge-to-edge metallized curved mineral crystal, while applied silver-tone hour markers enhance the sunray finish of the brilliant blue dial. A matching silver-tone expandable bangle ensures an ideal fit on any wrist, with 24 crystals that elevate the entire watch. Positively stylish and effortlessly bold, this Caravelle ladies? timepiece is an unapologetic statement of refinement.",https://bulova.widen.net/content/i9zufnydhb/jpeg/43L223_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/t15xgajheh/jpeg/i9zufnydhb_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43L224,Caravelle Stainless Steel Classic CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,New,1,$125.00,42429604520,2025 SPRING,Catalog,Stainless Steel,Silver-Tone,Rectangle,Quartz,Bracelet,Silver-Tone,Stainless Steel,Pink,Curved Mineral Crystal,None,21,,,,0030M,"Look pretty in pink all year long with this charmingly elegant Caravelle women?s watch. At once bold and refined, the silver-tone stainless steel case is polished throughout while a curved mineral crystal maintains the stylish silhouette. Printed black Roman numeral and baton markers are complemented by black sword hands that provide stunning contrast against the radiant split-finish pink dial. The watch transitions seamlessly to the matching silver-tone bracelet, which features a push-button folding closure for exemplary comfort. An everyday essential that can be dressed up or down, this Caravelle ladies? timepiece is the perfect addition to any collection.",https://bulova.widen.net/content/rvdd78irsc/jpeg/43L224_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/ny2hiqddew/jpeg/rvdd78irsc_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43M119,Caravelle Stainless Steel Classic CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,Core,1,$100.00,42429552722,2017 FALL,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Expansion,Silver-Tone,Stainless Steel,White,Mineral Crystal,None,30,,,,0030M,"Timeless design, wear-with-everything style. Complete with easy-to-read numerals with 24-hour design and three-hand date feature. Stainless steel case and comfort-fit expansion bracelet are the finishing touches on this classic watch.",https://bulova.widen.net/content/1tpqzfc9fu/jpeg/43M119_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/vvxvqkipvt/jpeg/43M119_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43M120,Caravelle Stainless Steel Sport Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,Core,1,$125.00,42429554764,2017 FALL,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Silver-White,Mineral Crystal,Crystal,28,,,,0030M,"From the Perfectly Petite Collection, this luminous stainless steel watch is surrounded by 48 brilliant crystals, featuring a patterned silver-white dial, calendar, second hand, and double-press fold-over clasp.",https://bulova.widen.net/content/i2x8yirbz9/jpeg/43M120_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/sefihar17g/jpeg/43M120_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43M124,Caravelle Stainless Steel Classic CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,New,1,$125.00,42429604513,2025 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Aqua,Mineral Crystal,None,32,,,,0030M,"Embrace a bold, sophisticated Summer with this sleek and streamlined Caravelle women?s timepiece. This watch features a silver-tone stainless steel case with a grooved bezel for a classic luxury look. The vibrant light blue dial is appointed with silver-tone baton and Roman numeral indices and a matching silver-tone handset with luminescent fill for low-light legibility, while the date display is enhanced by magnifying element on the mineral crystal. The watch is complemented by a matching silver-tone stainless steel bracelet with a push-button fold-over closure. The perfect blend of style and luxury in an exceptional Caravelle ladies? timepiece.",https://bulova.widen.net/content/8fspr377gy/jpeg/43M124_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/xp49ukkrkn/jpeg/8fspr377gy_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
44A122,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$150.00,42429593695,2023 SPRING,Catalog,Stainless Steel,Gold-Tone,Rectangle/Tank,Quartz,Expansion,Gold-Tone,Stainless Steel,Black,Curved Mineral Crystal,None,30,,,,0030M,Sophisticated styling to easily transition from day to night. Gold-tone stainless steel tank shaped case with a black Arabic style easy-to-read dial and added dimension with a curved mineral crystal. Gold-tone stainless steel comfort-fit expansion bracelet.,https://bulova.widen.net/content/qqfetxjwek/jpeg/44A122.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/jaf3fyvc6z/jpeg/44A122_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
44B117,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$125.00,42429552784,2017 FALL,Catalog,Stainless Steel,Gold-Tone,Round,Quartz,Expansion,Gold-Tone,Stainless Steel,White,Mineral Crystal,None,40,,,,0030M,"Timeless design, wear-with-everything style. Complete with easy-to-read bold 24-hour design and three-hand date feature on matte white dial. Gold-tone stainless steel case and comfort-fit expansion bracelet are the finishing touches on this classic watch.",https://bulova.widen.net/content/23iloc6e6p/jpeg/44B117_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/gzspggrfcr/jpeg/44B117_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
44B121,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$150.00,42429554900,2017 FALL,Catalog,Stainless Steel,Gold-Tone,Round,Quartz,Bracelet,Gold-Tone,Stainless Steel,Black,Mineral Crystal,None,41,,,,0030M,"Sleek and streamlined in stainless steel with gold finish, serrated-edge bezel, black dial, luminous hands, calendar, second hand, and double-pusher deployment buckle.",https://bulova.widen.net/content/ggtdyk4oyi/jpeg/44B121_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/o4rcmu40d1/jpeg/44B121_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
44B126,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$125.00,42429581494,2020 SPRING,Catalog,Stainless Steel,Gold-Tone,Round,Quartz,Expansion,Gold-Tone,Stainless Steel,Gray,Mineral Crystal,None,40.2,,,,0030M,An easy to wear every day style. Gold-tone stainless steel case and bracelet with a gray dial. Gold-tone markers and hands on the dark dial make for an easy to read style. Mineral crystal. Expansion bracelet makes for easy wear.,https://bulova.widen.net/content/jw6cdnenyp/jpeg/44B126.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/fo3pezrdec/jpeg/44B126_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
44B127,Caravelle Stainless Steel Sport Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$250.00,42429589209,2022 SPRING,Catalog,Stainless Steel,Gold-Tone,Round,Quartz,Bracelet,Gold-Tone,Stainless Steel,Black,Mineral Crystal,None,44,,,,0100M,"Form and function, no compromise needed. Gold-tone stainless steel case with a uni-directional rotating bezel. Black wave inspired dial texture with luminous hands and markers. Six-hand chronograph movement. Gold-tone stainless steel bracelet with short fold-over closure. Water resistant to 100 meters.",https://bulova.widen.net/content/b1se0qgitb/jpeg/44B127.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/oy80h9j8w1/jpeg/44B127_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
44C112,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$150.00,42429585096,2021 SPRING,Catalog,Stainless Steel,Gold-Tone,Round,Quartz with Light Up,Expansion,Gold-Tone,Stainless Steel,Parchment,Mineral Crystal,None,40,,,,0030M,"Simple, classic easy to read gets even easier to read?in the dark  This style has a backlit feature that illuminates the dial and is activated with a pusher at 2 o?clock.  Gold ? tone stainless steel case with a full Arabic parchment colored dial also features a military time inner track, day/date window, and luminous hands.  Stainless steel expansion band bracelet for easy styling.

* Case Diameter: 40mm 
* Case Thickness: 10.6mm 
* Water Resistance: 30M
* 3-Year Limited Warranty",https://bulova.widen.net/content/1zhnbtwgbe/jpeg/44C112.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/6ejpik0gfo/jpeg/44C112_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
44L226,Caravelle Stainless Steel Modern CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,New,1,$175.00,42429603929,2025 SPRING,Catalog,Stainless Steel,Gold-Tone,Tonneau,Quartz,Expansion,Gold-Tone,Stainless Steel,Champagne,Metalized Curved Mineral Crystal,Crystal,22,,,,0030M,"Show your confidence with this remarkable Caravelle women?s timepiece. Defined by a graceful silhouette, the gold-tone stainless steel case features an edge-to-edge metallized curved mineral crystal, while applied gold-tone hour markers enhance the sunray finish of the radiant champagne dial. A matching gold-tone expandable bangle ensures an ideal fit on any wrist, with 24 crystals that elevate the entire watch. Positively stylish and effortlessly bold, this Caravelle ladies? timepiece is an unapologetic statement of refinement.",https://bulova.widen.net/content/pe6a4aksro/jpeg/44L226_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/u2paeqzmwk/jpeg/pe6a4aksro_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
44L261,Caravelle Stainless Steel Classic CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,Core,1,$125.00,42429581531,2020 SPRING,Catalog,Stainless Steel,Gold-Tone,Tonneau,Quartz,Expansion,Gold-Tone,Stainless Steel,Champagne,Domed Mineral Crystal,None,18,,,,0030M,"A new shape for elegant wear. Gold-ton stainless steel case with a champagne dial featuring bold, dark easy to read Arabic numerals. Mineral crystal. Gold-tone stainless steel expansion bracelet makes for easy wear.",https://bulova.widen.net/content/qmlarvi6ca/jpeg/44L261.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/1m4piiym6j/jpeg/44L261_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
44M113,Caravelle Stainless Steel Classic CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,Core,1,$125.00,42429552869,2017 FALL,Catalog,Stainless Steel,Gold-Tone,Round,Quartz,Expansion,Gold-Tone,Stainless Steel,White,Mineral Crystal,None,30,,,,0030M,"Timeless design, wear-with-everything style. Complete with easy-to-read numerals with 24-hour design and three-hand date feature. Gold-tone stainless steel case and comfort-fit expansion bracelet are the finishing touches on this classic watch.",https://bulova.widen.net/content/nb5jcxdkbe/jpeg/44M113_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/tz2macmbl2/jpeg/44M113_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
44M116,Caravelle Stainless Steel Sport Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,Core,1,$225.00,42429589223,2022 SPRING,Catalog,Stainless Steel,Gold-Tone,Round,Quartz,Bracelet,Gold-Tone,Stainless Steel,Black,Mineral Crystal,Crystal,36,,,,0100M,"For all-day dazzle, this Aqualuxx luxury sport watch sparkles with 42 brilliant crystals. In stainless steel with gold-tone finish, black wave inspired dial texture, calendar, and double-press fold-over clasp. Water resistant to 100 meters.",https://bulova.widen.net/content/tsz3sekr7n/jpeg/44M116.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/qd5b2v1mhd/jpeg/44M116_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
44X101,Caravelle Stainless Steel Classic CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,Core,1,$225.00,42429591110,2022 FALL,Catalog,Stainless Steel,Gold-Tone,Round,Quartz,Bracelet,Gold-Tone,Stainless Steel,Silver-Tone,Mineral Crystal,Crystal,32,,,,0030M,"Add sparkle to your style with this Classic collection gift set. The timepiece includes a white sunray dial with a calendar window at 3 o?clock, a gold-tone stainless steel case with 60 crystals on the bezel, and a polished gold-tone stainless steel bracelet. A gold-tone stainless steel jewelry bracelet completes the gift set with 56 crystals set on the center plate and a lobster claw closure. ",https://bulova.widen.net/content/pgwedpxqk9/jpeg/44X101.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/m0vx5nacsa/jpeg/44X101_box_set_soldier.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
45B147,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$125.00,42429552890,2017 FALL,Catalog,Stainless Steel,Two-Tone,Round,Quartz,Expansion,Two-Tone,Stainless Steel,White,Mineral Crystal,None,40,,,,0030M,"Timeless design, wear-with-everything style. Complete with easy-to-read bold 24-hour design and three-hand date feature on matte white dial. Gold-tone accented stainless steel case and comfort-fit expansion bracelet are the finishing touches on this classic watch.",https://bulova.widen.net/content/kudzo5kzt0/jpeg/45B147_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/rvkgt9mt9e/jpeg/45B147_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
45B148,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$150.00,42429552920,2017 FALL,Catalog,Stainless Steel,Two-Tone,Round,Quartz,Bracelet,Two-Tone,Stainless Steel,Silver-White,Mineral Crystal,None,41,,,,0030M,"Elegant and perfectly refined describe this graphic white dial, three-hand gold-tone accented stainless steel watch. Featuring a textured bezel detail, date magnifier and stainless steel bracelet with gold-tone accents and double-press fold-over closure.",https://bulova.widen.net/content/brk0ovma6c/jpeg/45B148_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/d0qm1cwdai/jpeg/45B148_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
