StyleNumber,ProductName,ImagePath,ImagePath2,ImagePath3,ProductDescription,MetalType,MetalColor,WholeSaleBasePrice,Gender,Categories,Collections,Weight,IsImageFromURL,PriceType
14KW8REF-P,8 mm wide Flat Rounded Edges 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/REF/widths/8/ring_materials/14KW/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/REF/widths/8/ring_materials/14KW/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/REF/widths/8/ring_materials/14KW/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,8 mm wide Flat Rounded Edges 14K White Gold band.,14K Gold,White,1072,Unisex,Men's Wedding Rings,Wedding Band,11.937,1,2
14KW8DC-P,8 mm wide Domed Center Concave 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/DC/widths/8/ring_materials/14KW/images/1?ring_finish=POLISH%2CSATIN&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DC/widths/8/ring_materials/14KW/images/2?ring_finish=POLISH%2CSATIN&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DC/widths/8/ring_materials/14KW/images/3?ring_finish=POLISH%2CSATIN&finish_type=FS&weight=P&size=10&feature_group=N,8 mm wide Domed Center Concave 14K White Gold band.,14K Gold,White,1065,Unisex,Men's Wedding Rings,Wedding Band,11.856,1,2
14KW8RED-P,8 mm wide Domed Rounded Edges 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/RED/widths/8/ring_materials/14KW/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/RED/widths/8/ring_materials/14KW/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/RED/widths/8/ring_materials/14KW/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,8 mm wide Domed Rounded Edges 14K White Gold band.,14K Gold,White,1057,Unisex,Men's Wedding Rings,Wedding Band,11.757,1,2
14KW6DMIL-P,6 mm wide Domed Milgrain Edges 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/DMIL/widths/6/ring_materials/14KW/images/1?ring_finish=POLISH&finish_type=F&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DMIL/widths/6/ring_materials/14KW/images/2?ring_finish=POLISH&finish_type=F&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DMIL/widths/6/ring_materials/14KW/images/3?ring_finish=POLISH&finish_type=F&weight=P&size=10&feature_group=N,6 mm wide Domed Milgrain Edges 14K White Gold band.,14K Gold,White,835,Unisex,Men's Wedding Rings,Wedding Band,9.084,1,2
D8HBWOODGRAIN,8 mm wide High Bevel Woodgrain band.,https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/D-WOODGRAIN/images/1?ring_finish=POLISH&finish_type=F&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/D-WOODGRAIN/images/2?ring_finish=POLISH&finish_type=F&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/D-WOODGRAIN/images/3?ring_finish=POLISH&finish_type=F&size=10&feature_group=N,8 mm wide High Bevel Woodgrain band.,Damascus,Damascus,282,Unisex,Men's Wedding Rings,"Wedding Band, Damascus",,1,2
D8D2.5,8 mm wide Domed with two accent grooves Damascus band.,https://assets.lashbrookdesigns.com/rings/profiles/D2.5/widths/8/ring_materials/D/images/1?ring_finish=ACID%2CBEAD&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/D2.5/widths/8/ring_materials/D/images/2?ring_finish=ACID%2CBEAD&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/D2.5/widths/8/ring_materials/D/images/3?ring_finish=ACID%2CBEAD&finish_type=FS&size=10&feature_group=N,8 mm wide Domed with two accent grooves Damascus band.,Damascus,Damascus,229,Unisex,Men's Wedding Rings,"Wedding Band, Damascus",,1,2
D7FRSUNSET,7 mm wide Flat Sunset band featuring a Royal Blue sleeve.,https://assets.lashbrookdesigns.com/rings/profiles/FR/widths/7/ring_materials/D-SUNSET/images/1?ring_finish=ACID&finish_type=F&size=10&feature_group=N&sleeve=CER-ROYALBLUE,https://assets.lashbrookdesigns.com/rings/profiles/FR/widths/7/ring_materials/D-SUNSET/images/2?ring_finish=ACID&finish_type=F&size=10&feature_group=N&sleeve=CER-ROYALBLUE,https://assets.lashbrookdesigns.com/rings/profiles/FR/widths/7/ring_materials/D-SUNSET/images/3?ring_finish=ACID&finish_type=F&size=10&feature_group=N&sleeve=CER-ROYALBLUE,7 mm wide Flat Sunset band featuring a Royal Blue sleeve.,Damascus,Damascus,321,Unisex,Men's Wedding Rings,"Wedding Band, Damascus",,1,2
8D15/HARDWOOD,8 mm wide/Domed/Titanium band with one 5 mm Centered inlay of Red Heart.,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/T/images/1?ring_finish=POLISH&finish_type=F&size=10&feature_group=G%2CN&groove_group=15-N&grooves=15-N_HW-REDHEART,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/T/images/2?ring_finish=POLISH&finish_type=F&size=10&feature_group=G%2CN&groove_group=15-N&grooves=15-N_HW-REDHEART,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/T/images/3?ring_finish=POLISH&finish_type=F&size=10&feature_group=G%2CN&groove_group=15-N&grooves=15-N_HW-REDHEART,8 mm wide/Domed/Titanium band with one 5 mm Centered inlay of Red Heart.,Titanium,Titanium,253,Unisex,Men's Wedding Rings,"Wedding Band, Titanium",,1,2
HWSLEEVEZ8FGE,8 mm wide Flat Grooved Edges Zirconium band featuring a Spalted Tamarind sleeve.,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/8/ring_materials/Z/images/1?ring_finish=CROSSSATINBLACK%2CPOLISH&finish_type=FS&size=10&feature_group=N&sleeve=HW-SPALTEDTAMARIND,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/8/ring_materials/Z/images/2?ring_finish=CROSSSATINBLACK%2CPOLISH&finish_type=FS&size=10&feature_group=N&sleeve=HW-SPALTEDTAMARIND,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/8/ring_materials/Z/images/3?ring_finish=CROSSSATINBLACK%2CPOLISH&finish_type=FS&size=10&feature_group=N&sleeve=HW-SPALTEDTAMARIND,8 mm wide Flat Grooved Edges Zirconium band featuring a Spalted Tamarind sleeve.,Zirconium,Zirconium,320,Unisex,Men's Wedding Rings,"Wedding Band, Zirconium",,1,2
Z8D15/HARDWOOD,8 mm wide/Domed/Zirconium band with one 5 mm Centered inlay of Desert Iron Wood.,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/Z/images/1?ring_finish=POLISH&finish_type=F&size=10&feature_group=G%2CN&groove_group=15-N&grooves=15-N_HW-DESERTIRONWOOD,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/Z/images/2?ring_finish=POLISH&finish_type=F&size=10&feature_group=G%2CN&groove_group=15-N&grooves=15-N_HW-DESERTIRONWOOD,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/Z/images/3?ring_finish=POLISH&finish_type=F&size=10&feature_group=G%2CN&groove_group=15-N&grooves=15-N_HW-DESERTIRONWOOD,8 mm wide/Domed/Zirconium band with one 5 mm Centered inlay of Desert Iron Wood.,Zirconium,Zirconium,320,Unisex,Men's Wedding Rings,"Wedding Band, Zirconium",,1,2
CC7DGE,7 mm wide Domed Stepped Down Edges Cobalt Chrome band.,https://assets.lashbrookdesigns.com/rings/profiles/DGE/widths/7/ring_materials/CC/images/1?ring_finish=ANGLESATIN%2CPOLISH&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DGE/widths/7/ring_materials/CC/images/2?ring_finish=ANGLESATIN%2CPOLISH&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DGE/widths/7/ring_materials/CC/images/3?ring_finish=ANGLESATIN%2CPOLISH&finish_type=FS&size=10&feature_group=N,7 mm wide Domed Stepped Down Edges Cobalt Chrome band.,Cobalt Chrome,Cobalt Chrome,142,Unisex,Men's Wedding Rings,"Wedding Band, Cobalt Chrome",,1,2
CC8D/LCVCELTIC17/A,8 mm wide/Domed/Cobalt Chrome band with a laser carved Celtic 17 pattern.,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/CC/images/1?ring_finish=SATIN&finish_type=F&size=10&feature_group=M%2CN&machine_pattern=LCVCELTIC17_CC_COLOR_CER-GREEN,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/CC/images/2?ring_finish=SATIN&finish_type=F&size=10&feature_group=M%2CN&machine_pattern=LCVCELTIC17_CC_COLOR_CER-GREEN,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/CC/images/3?ring_finish=SATIN&finish_type=F&size=10&feature_group=M%2CN&machine_pattern=LCVCELTIC17_CC_COLOR_CER-GREEN,8 mm wide/Domed/Cobalt Chrome band with a laser carved Celtic 17 pattern.,Cobalt Chrome,Cobalt Chrome,226,Unisex,Men's Wedding Rings,"Wedding Band, Cobalt Chrome",,1,2
CC6FGEW2UMIL13C/14KY,6 mm wide/Flat Stepped Edges Milgrain/Cobalt Chrome band with one 3 mm Raised Centered inlay of 14K Yellow Gold.,https://assets.lashbrookdesigns.com/rings/profiles/FGEW2UMIL/widths/6/ring_materials/CC/images/1?ring_finish=POLISH%2CPOLISH&finish_type=FS&size=10&feature_group=G%2CN&groove_group=13-C&grooves=13-C_14KY_SATIN,https://assets.lashbrookdesigns.com/rings/profiles/FGEW2UMIL/widths/6/ring_materials/CC/images/2?ring_finish=POLISH%2CPOLISH&finish_type=FS&size=10&feature_group=G%2CN&groove_group=13-C&grooves=13-C_14KY_SATIN,https://assets.lashbrookdesigns.com/rings/profiles/FGEW2UMIL/widths/6/ring_materials/CC/images/3?ring_finish=POLISH%2CPOLISH&finish_type=FS&size=10&feature_group=G%2CN&groove_group=13-C&grooves=13-C_14KY_SATIN,6 mm wide/Flat Stepped Edges Milgrain/Cobalt Chrome band with one 3 mm Raised Centered inlay of 14K Yellow Gold.,Cobalt Chrome,Cobalt Chrome,456,Unisex,Men's Wedding Rings,"Wedding Band, Cobalt Chrome",,1,2
CC8FR,8 mm wide Flat Cobalt Chrome band.,https://assets.lashbrookdesigns.com/rings/profiles/FR/widths/8/ring_materials/CC/images/1?ring_finish=DISTRESSED&finish_type=F&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FR/widths/8/ring_materials/CC/images/2?ring_finish=DISTRESSED&finish_type=F&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FR/widths/8/ring_materials/CC/images/3?ring_finish=DISTRESSED&finish_type=F&size=10&feature_group=N,8 mm wide Flat Cobalt Chrome band.,Cobalt Chrome,Cobalt Chrome,142,Unisex,Men's Wedding Rings,"Wedding Band, Cobalt Chrome",,1,2
Z8FGE,8 mm wide Flat Grooved Edges Zirconium band.,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/8/ring_materials/Z/images/1?ring_finish=CROSSSATINSILVER%2CPOLISH&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/8/ring_materials/Z/images/2?ring_finish=CROSSSATINSILVER%2CPOLISH&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/8/ring_materials/Z/images/3?ring_finish=CROSSSATINSILVER%2CPOLISH&finish_type=FS&size=10&feature_group=N,8 mm wide Flat Grooved Edges Zirconium band.,Zirconium,Zirconium,156,Unisex,Men's Wedding Rings,"Wedding Band, Zirconium",,1,2
Z8D2.5,8 mm wide Domed with two accent grooves Zirconium band.,https://assets.lashbrookdesigns.com/rings/profiles/D2.5/widths/8/ring_materials/Z/images/1?ring_finish=POLISH%2CBEAD&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/D2.5/widths/8/ring_materials/Z/images/2?ring_finish=POLISH%2CBEAD&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/D2.5/widths/8/ring_materials/Z/images/3?ring_finish=POLISH%2CBEAD&finish_type=FS&size=10&feature_group=N,8 mm wide Domed with two accent grooves Zirconium band.,Zirconium,Zirconium,156,Unisex,Men's Wedding Rings,"Wedding Band, Zirconium",,1,2
Z8DGE,8 mm wide Domed Stepped Down Edges Zirconium band.,https://assets.lashbrookdesigns.com/rings/profiles/DGE/widths/8/ring_materials/Z/images/1?ring_finish=HAMMER%2CPOLISH&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DGE/widths/8/ring_materials/Z/images/2?ring_finish=HAMMER%2CPOLISH&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DGE/widths/8/ring_materials/Z/images/3?ring_finish=HAMMER%2CPOLISH&finish_type=FS&size=10&feature_group=N,8 mm wide Domed Stepped Down Edges Zirconium band.,Zirconium,Zirconium,156,Unisex,Men's Wedding Rings,"Wedding Band, Zirconium",,1,2
Z8HBDIA9X.05BEAD,"8 mm wide/High Bevel/Zirconium band with an  arrangement of 9, .05 carat Round Diamond stones in a Bead setting.",https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/Z/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&size=10&feature_group=D%2CN&gemstones=9X-N_ROUND_DIA_.05_BEAD,https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/Z/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&size=10&feature_group=D%2CN&gemstones=9X-N_ROUND_DIA_.05_BEAD,https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/Z/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&size=10&feature_group=D%2CN&gemstones=9X-N_ROUND_DIA_.05_BEAD,"8 mm wide/High Bevel/Zirconium band with an  arrangement of 9, .05 carat Round Diamond stones in a Bead setting.",Zirconium,Zirconium,874,Unisex,Men's Wedding Rings,"Wedding Band, Zirconium",,1,2
Z7FGE,7 mm wide Flat Grooved Edges Zirconium band.,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/7/ring_materials/Z/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/7/ring_materials/Z/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/7/ring_materials/Z/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&size=10&feature_group=N,7 mm wide Flat Grooved Edges Zirconium band.,Zirconium,Zirconium,156,Unisex,Men's Wedding Rings,"Wedding Band, Zirconium",,1,2
Z6FGE13/MOSAIC,6 mm wide/Flat Grooved Edges/Zirconium band with one 3 mm Centered inlay of Malachite.,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/6/ring_materials/Z/images/1?ring_finish=POLISH%2CPOLISH&finish_type=FS&size=10&feature_group=G%2CN&groove_group=13-N&grooves=13-N_MOSAIC-MALACHITE,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/6/ring_materials/Z/images/2?ring_finish=POLISH%2CPOLISH&finish_type=FS&size=10&feature_group=G%2CN&groove_group=13-N&grooves=13-N_MOSAIC-MALACHITE,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/6/ring_materials/Z/images/3?ring_finish=POLISH%2CPOLISH&finish_type=FS&size=10&feature_group=G%2CN&groove_group=13-N&grooves=13-N_MOSAIC-MALACHITE,6 mm wide/Flat Grooved Edges/Zirconium band with one 3 mm Centered inlay of Malachite.,Zirconium,Zirconium,296,Unisex,Men's Wedding Rings,"Wedding Band, Zirconium",,1,2
Z8DETERNITYBLKDIA.05BEAD,8 mm wide/Domed/Zirconium band with an Eternity arrangement of .05 carat Round Black Diamond stones in a Bead setting.,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/Z/images/1?ring_finish=HAMMER&finish_type=F&size=10&feature_group=D%2CN&gemstones=ETERNITY-N_ROUND_BLKDIA_.05_BEAD,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/Z/images/2?ring_finish=HAMMER&finish_type=F&size=10&feature_group=D%2CN&gemstones=ETERNITY-N_ROUND_BLKDIA_.05_BEAD,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/8/ring_materials/Z/images/3?ring_finish=HAMMER&finish_type=F&size=10&feature_group=D%2CN&gemstones=ETERNITY-N_ROUND_BLKDIA_.05_BEAD,8 mm wide/Domed/Zirconium band with an Eternity arrangement of .05 carat Round Black Diamond stones in a Bead setting.,Zirconium,Zirconium,678,Unisex,Men's Wedding Rings,"Wedding Band, Zirconium",,1,2
Z6D,6 mm wide Domed Zirconium band.,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/6/ring_materials/Z/images/1?ring_finish=POLISH&finish_type=F&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/6/ring_materials/Z/images/2?ring_finish=POLISH&finish_type=F&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/D/widths/6/ring_materials/Z/images/3?ring_finish=POLISH&finish_type=F&size=10&feature_group=N,6 mm wide Domed Zirconium band.,Zirconium,Zirconium,156,Unisex,Men's Wedding Rings,"Wedding Band, Zirconium",,1,2
ZPF7FGE15C/TANTALUM,7 mm wide/Flat Grooved Edges/Zirconium band with one 5 mm Raised Centered inlay of Tantalum.,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/7/ring_materials/PFZ/images/1?ring_finish=POLISH%2CPOLISH&finish_type=FS&size=10&feature_group=G%2CN&groove_group=15-C&grooves=15-C_TANTALUM_SATIN,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/7/ring_materials/PFZ/images/2?ring_finish=POLISH%2CPOLISH&finish_type=FS&size=10&feature_group=G%2CN&groove_group=15-C&grooves=15-C_TANTALUM_SATIN,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/7/ring_materials/PFZ/images/3?ring_finish=POLISH%2CPOLISH&finish_type=FS&size=10&feature_group=G%2CN&groove_group=15-C&grooves=15-C_TANTALUM_SATIN,7 mm wide/Flat Grooved Edges/Zirconium band with one 5 mm Raised Centered inlay of Tantalum.,Zirconium,Zirconium,382,Unisex,Men's Wedding Rings,"Wedding Band, Zirconium",,1,2
14KY8HBBEVELETERNITYBLKDIA.01BEAD-P,8 mm wide/High Bevel/14K Yellow Gold band with a Bevel Eternity arrangement of .01 carat Round Black Diamond stones in a Bead setting.,https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/14KY/images/1?ring_finish=HAMMER%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=D%2CN&gemstones=BEVELETERNITY-N_ROUND_BLKDIA_.01_BEAD,https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/14KY/images/2?ring_finish=HAMMER%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=D%2CN&gemstones=BEVELETERNITY-N_ROUND_BLKDIA_.01_BEAD,https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/14KY/images/3?ring_finish=HAMMER%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=D%2CN&gemstones=BEVELETERNITY-N_ROUND_BLKDIA_.01_BEAD,8 mm wide/High Bevel/14K Yellow Gold band with a Bevel Eternity arrangement of .01 carat Round Black Diamond stones in a Bead setting.,14K Gold,Yellow,1784,Unisex,Men's Wedding Rings,Wedding Band,13.473,1,2
